ID,Username,Rating,Review Time,Review Content,Owner Response
1,Alice Lin,4,2023-03-31,It’s a very underground station for me. It’s quite cleaning but it’s a bit dark when I was there.,
2,Slyvia Novac,5,2020-06-29,"This station is a multi modal platform where the METRO,  ALL LONG DISTANCE TRAINS, REGIONAL RAILWAY PASSENGER WAGONS and the BUSES network too are interlinked. All those transportation lines are intersecting in this large station of LUCIEN L'ALLIER.
Montrealers are so lucky to have this HUB allowing them to be able to travel and explore Canada from coast to coast. Also, it is possible to travel to USA and much further south.
Thinking of that, it is an opportunity for tourists to be able to come visit our charming city of Montréal too. With so many places to see and discover do not hesitate to come over. Montreal is a very vivid city in north America and the first major destination for couples and lovers who want to enjoy life Tranquilo.",
3,Zalán Teodor Gáspár,3,2022-06-29,"What is this station? To reach the platforms you need like 4-5 escalators, and there are no elevators. Takes nearly as much time to reach the platform as to walk to the next station. The corridor over to the Bell Centre is dirty and smelly.",
4,Octo Owen,3,2019-06-30,"Working downtown station.

Connected to train terminal as well as the Bell Center.

However the passage way always has a pee smell.
Homeless people reside nearby.

Not handicap friendly, no elevators.

Long distance from entrance to metro line.

Escalators and stairs.

On a slight hill downward the downtown centres.

It's counterpart is Bonaventure station, both used to access the Bell Center on events.",
5,Daniel Proulx,5,2018-06-30,One of the deepest metro stations in Montreal with three long escalators to get to the top or bottom. One of the two metro stops you can use to get to the Bell Center for any events there. There are multiple street level entrances to the station.,
6,Emma K,5,2022-06-29,pretty nifty- if i do say so myself. Hope you like stairs haha,
7,Ricardo Seales,5,2021-06-29,Yes lots of homeless people in this area .We need to find them homes.,
8,Guilherme Cavalcante,3,2022-06-29,Really? Did you really need to add that many escalators?,
9,S.E. McKenzie,3,2018-06-30,Not always clean but the architecture is very nice. Lots of covered walkways and many exits. Connects to Bell Centre.,
10,johnathon Tangredi,3,2019-06-30,If you aren't accessible person or travel with a stroller it makes it very hard and difficult but overall the station was nice and clean,
11,Jonathan Mancor,5,2022-06-29,good memories catching the 211 after an evening downtown,
12,Thilina Sooriyaarachchi,4,2022-06-29,Lovely atmosphere and good food 👌......! …,
13,sara,4,2021-06-29,Not very walking worthy but close to city centre,
14,Kushwant Bussawah,4,2018-06-30,One of the least smelly metro stations. Cleaner than most. Helps that it is in the heart of the business district and schools,
15,Doug Campbell,5,2019-06-30,Very nice train station. It is spacious and has good food options.,
16,Vg G,4,2018-06-30,Nice.,
17,Eric C,4,2016-06-30,"Ordinary metro, beware, take the escalator up.. there is a lot of steps if you take the stairs!",
18,Justin Harris,2,2020-06-29,"People smoking indoors.
Smells bad. Escalators often broken.",
19,AH Wa,5,2022-06-29,⚜️🇨🇦Ⓜ️ …,
20,Mirza Md Hasan,5,2023-01-30,Nice metro,
21,TOMASZ WIELINSKI,5,2021-06-29,Ok.,
22,Omid Barat,2,2016-06-30,Lots of homeless folks around this place - scary,
23,Munish Aggarwal,5,2018-06-30,Very nice,
24,Basel Abdo,4,2019-06-30,Very low station,
25,Jean-Paul Renaud,5,2017-06-30,This station changed me,
26,Joana Zghaib,5,2018-06-30,BELL CENTRE STATION!!!,
27,Sylvain Parizeau,3,2023-03-31,"Le métro est un peu sale, il y a beaucoup de sdf dans le métro et la police ne dit rien.",
28,poubelleKid -Gaming_YtKid 377,3,2022-06-29,j'ai 4 raison la première c'est le nombre d'itinérants le soir la deuxième c une bonne raison ça mène directement au centre Bell troisième c une très mauvaise raison le sorte de tunnel pour rentrer au centre Bell est très mal propre ça pue c dégueulasse quatrième raison c cool car il y a une bonne ambiance la fin des match,
29,Claudine Lippe,3,2022-06-29,Difficilement accessibles aux gens à mobilités réduites et aux parents avec poussettes.,
30,Steve Nantel,2,2017-06-30,"Commentaire de la part de ma femme qui continu à prendre sont auto. 1. Pas assez de trains. 2.Probleme d'itinerants le soir. 3.En construction pas d'indications. 4. Train Saint-Jerome Blainville qui fait le grand tour de Montréal pour aller au Nord, résultat, voyage trop long.5. Commodités à la gare hors de prix.6. Manque de stationnement incitatif. 7. Le prix est trop élevé. 8. Siege pas assez long pour pouvoir utiliser un laptop sur genoux confortablement. 9. Arret a la gare lucien l'allier non couvert. Bref, l'auto pour nous est de loin la meilleure option et l'option la moins chère, la plus rapide, la plus confortable, la plus fiable.. Mais à l'occasion, mal pris, ça dépanne.",
31,Etienne Lajoie,4,2016-06-30,"Excellent moyen de transport aux heures de pointe, mais laisse à désirer en dehors des heures de pointe.",
32,Ronaldine Cadet,4,2021-06-29,Métro correct sans plus,
33,Dave Lachapelle,4,2018-06-30,Beaucoup de marche,
34,Abdelali idrissi taghki,5,2022-12-31,No review text provided.,
35,Louis-Victor Champagne,4,2022-06-29,No review text provided.,
36,Ryma Kaulitz,3,2019-06-30,No review text provided.,
37,Hossain Chowdhury,5,2020-06-29,No review text provided.,
38,Xinyuan Zhang,3,2018-06-30,No review text provided.,
39,Jonathan Paquette,5,2018-06-30,No review text provided.,
40,Zhonghan Zhou,1,2018-06-30,No review text provided.,
41,David Li,4,2020-06-29,No review text provided.,
42,Annie Perreault,4,2017-06-30,No review text provided.,
43,mario bergeron,3,2022-06-29,No review text provided.,
44,SAGIE REDDY,5,2017-06-30,No review text provided.,
45,Pierre Bouyer,4,2022-06-29,No review text provided.,
46,Lin Zhang,4,2019-06-30,No review text provided.,
47,Aurelie Sanhaji,4,2019-06-30,No review text provided.,
48,BÉBÊTE Guerra,5,2022-06-29,No review text provided.,
49,Mariana Petry,1,2019-06-30,No review text provided.,
50,Makram Adaime,2,2017-06-30,No review text provided.,
51,abhishek chaudhry,4,2019-06-30,No review text provided.,
52,Ara Zago,3,2019-06-30,No review text provided.,
